,0,mean,std,min,max,median,mode,q1,q2,q3
proportional_fairness,165.57418757019644,165.57418757019644,0.0,165.57418757019644,165.57418757019644,165.57418757019644,165.57418757019644,165.57418757019644,165.57418757019644,165.57418757019644
"alpha_('Gas_node_3', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_3', 'Gas', 'Gas')",26.825541019899987,26.825541019899987,0.0,26.825541019899987,26.825541019899987,26.825541019899987,26.825541019899987,26.825541019899987,26.825541019899987,26.825541019899987
"alpha_('Gas_node_4', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_4', 'Gas', 'Gas')",22.700000000100005,22.700000000100005,0.0,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005
"alpha_('Gas_node_5', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_5', 'Gas', 'Gas')",22.67445897950003,22.67445897950003,0.0,22.67445897950003,22.67445897950003,22.67445897950003,22.67445897950003,22.67445897950003,22.67445897950003,22.67445897950003
"alpha_('Gas_node_6', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_6', 'Gas', 'Gas')",17.7,17.7,0.0,17.7,17.7,17.7,17.7,17.7,17.7,17.7
"alpha_('Gas_node_7', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_7', 'Gas', 'Gas')",22.7000000001,22.7000000001,0.0,22.7000000001,22.7000000001,22.7000000001,22.7000000001,22.7000000001,22.7000000001,22.7000000001
"alpha_('Gas_node_8', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_8', 'Gas', 'Gas')",22.700000000100005,22.700000000100005,0.0,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005,22.700000000100005
