,0,mean,std,min,max,median,mode,q1,q2,q3
proportional_fairness,214.26446516787252,214.26446516787252,0.0,214.26446516787252,214.26446516787252,214.26446516787252,214.26446516787252,214.26446516787252,214.26446516787252,214.26446516787252
"alpha_('Gas_node_3', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_3', 'Gas', 'Gas')",73.20000010154911,73.20000010154911,0.0,73.20000010154911,73.20000010154911,73.20000010154911,73.20000010154911,73.20000010154911,73.20000010154911,73.20000010154911
"alpha_('Gas_node_4', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_4', 'Gas', 'Gas')",67.70000020377248,67.70000020377248,0.0,67.70000020377248,67.70000020377248,67.70000020377248,67.70000020377248,67.70000020377248,67.70000020377248,67.70000020377248
"alpha_('Gas_node_5', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_5', 'Gas', 'Gas')",67.79999989878621,67.79999989878621,0.0,67.79999989878621,67.79999989878621,67.79999989878621,67.79999989878621,67.79999989878621,67.79999989878621,67.79999989878621
"alpha_('Gas_node_6', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_6', 'Gas', 'Gas')",17.7,17.7,0.0,17.7,17.7,17.7,17.7,17.7,17.7,17.7
"alpha_('Gas_node_7', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_7', 'Gas', 'Gas')",22.9,22.9,0.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9
"alpha_('Gas_node_8', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_8', 'Gas', 'Gas')",68.00000000416993,68.00000000416993,0.0,68.00000000416993,68.00000000416993,68.00000000416993,68.00000000416993,68.00000000416993,68.00000000416993,68.00000000416993
"alpha_('Gas_node_9', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_9', 'Gas', 'Gas')",47.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
"alpha_('Gas_node_10', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_10', 'Gas', 'Gas')",13.4,13.4,0.0,13.4,13.4,13.4,13.4,13.4,13.4,13.4
"alpha_('Gas_node_11', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_11', 'Gas', 'Gas')",3.4,3.4,0.0,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"alpha_('Gas_node_12', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_12', 'Gas', 'Gas')",14.2,14.2,0.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2
"alpha_('Gas_node_13', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_13', 'Gas', 'Gas')",25.3,25.3,0.0,25.3,25.3,25.3,25.3,25.3,25.3,25.3
"alpha_('Gas_node_14', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_14', 'Gas', 'Gas')",11.5,11.5,0.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5
"alpha_('Gas_node_15', 'Gas', 'Gas')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Gas_node_15', 'Gas', 'Gas')",67.89999997363812,67.89999997363812,0.0,67.89999997363812,67.89999997363812,67.89999997363812,67.89999997363812,67.89999997363812,67.89999997363812,67.89999997363812
"alpha_('Power_node_9', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_9', 'Power', 'Power')",9.777975497,9.777975497,0.0,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497,9.777975497
"alpha_('Power_node_10', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_10', 'Power', 'Power')",13.9000000001,13.9000000001,0.0,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001
"alpha_('Power_node_11', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_11', 'Power', 'Power')",13.900000000099986,13.900000000099986,0.0,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986
"alpha_('Power_node_12', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_12', 'Power', 'Power')",13.90000000009999,13.90000000009999,0.0,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999,13.90000000009999
"alpha_('Power_node_13', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_13', 'Power', 'Power')",14.000000000099938,14.000000000099938,0.0,14.000000000099938,14.000000000099938,14.000000000099938,14.000000000099938,14.000000000099938,14.000000000099938,14.000000000099938
"alpha_('Power_node_14', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_14', 'Power', 'Power')",14.00000000015961,14.00000000015961,0.0,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961
"alpha_('Power_node_15', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_15', 'Power', 'Power')",14.00000000015961,14.00000000015961,0.0,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961,14.00000000015961
"alpha_('Power_node_16', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_16', 'Power', 'Power')",10.80638959,10.80638959,0.0,10.80638959,10.80638959,10.80638959,10.80638959,10.80638959,10.80638959,10.80638959
"alpha_('Power_node_17', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_17', 'Power', 'Power')",0.316401109,0.316401109,0.0,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109
"alpha_('Power_node_18', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_18', 'Power', 'Power')",6.252251204,6.252251204,0.0,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204
"alpha_('Power_node_19', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_19', 'Power', 'Power')",13.900000000099986,13.900000000099986,0.0,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986
"alpha_('Power_node_20', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_20', 'Power', 'Power')",14.000000000453262,14.000000000453262,0.0,14.000000000453262,14.000000000453262,14.000000000453262,14.000000000453262,14.000000000453262,14.000000000453262,14.000000000453262
"alpha_('Power_node_21', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_21', 'Power', 'Power')",13.90000000063516,13.90000000063516,0.0,13.90000000063516,13.90000000063516,13.90000000063516,13.90000000063516,13.90000000063516,13.90000000063516,13.90000000063516
"alpha_('Power_node_22', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_22', 'Power', 'Power')",13.900000000099993,13.900000000099993,0.0,13.900000000099993,13.900000000099993,13.900000000099993,13.900000000099993,13.900000000099993,13.900000000099993,13.900000000099993
"alpha_('Power_node_23', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_23', 'Power', 'Power')",13.900000000099986,13.900000000099986,0.0,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986,13.900000000099986
"alpha_('Power_node_24', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_24', 'Power', 'Power')",14.00000000009991,14.00000000009991,0.0,14.00000000009991,14.00000000009991,14.00000000009991,14.00000000009991,14.00000000009991,14.00000000009991,14.00000000009991
"alpha_('Power_node_25', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_25', 'Power', 'Power')",13.9000000001,13.9000000001,0.0,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001,13.9000000001
"alpha_('Power_node_26', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_26', 'Power', 'Power')",13.900000000204743,13.900000000204743,0.0,13.900000000204743,13.900000000204743,13.900000000204743,13.900000000204743,13.900000000204743,13.900000000204743,13.900000000204743
"alpha_('Power_node_27', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_27', 'Power', 'Power')",13.900000000099983,13.900000000099983,0.0,13.900000000099983,13.900000000099983,13.900000000099983,13.900000000099983,13.900000000099983,13.900000000099983,13.900000000099983
"alpha_('Power_node_28', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_28', 'Power', 'Power')",13.96956719642549,13.96956719642549,0.0,13.96956719642549,13.96956719642549,13.96956719642549,13.96956719642549,13.96956719642549,13.96956719642549,13.96956719642549
"alpha_('Power_node_29', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_29', 'Power', 'Power')",4.382616987,4.382616987,0.0,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987
"alpha_('Power_node_30', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_30', 'Power', 'Power')",14.00000000009999,14.00000000009999,0.0,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999
"alpha_('Power_node_31', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_31', 'Power', 'Power')",14.00000000009999,14.00000000009999,0.0,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999
"alpha_('Power_node_32', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_32', 'Power', 'Power')",13.900000000099972,13.900000000099972,0.0,13.900000000099972,13.900000000099972,13.900000000099972,13.900000000099972,13.900000000099972,13.900000000099972,13.900000000099972
